Restaurant Name,City,Cuisines,Latitude,Longitude,rating
Chick-fil-A,Albany,American,40.1427999,-82.9904886,8.4
Longhorn Steakhouse,Albany,American,40.5404928,-105.0765472,7.1
Mama's Boy Restaurant,Athens,Southern,41.890615,-87.6293977,6.5
Big City Bread Cafe,Athens,American,33.9592977,-83.3841275,8.2
Taqueria Del Sol,Athens,Mexican,36.1266001,-86.7894052,8.2
The National,Athens,Southern,47.6112277,-122.3394944,6.4
The Royal Peasant,Athens,American,33.9380377,-83.387066,9.2
Transmetropolitan,Athens,Italian,33.9584867,-83.3765442,8.5
Trappeze Pub,Athens,American,33.9584943,-83.3790162,9
Boll Weevil Cafe,Augusta,Southern,31.3144527,-85.8540163,7.3
Mellow Mushroom,Augusta,Italian,33.92178705,-84.3795288396402,8.7
Rhinehart's Oyster Bar,Augusta,Seafood,33.5134286,-82.0502224239551,8.3
Takosushi,Augusta,Thai,34.8499264,-82.3996372,7.5
The Taj of India,Augusta,Indian,38.9054109,-77.0573168,7.3
Rhinehart's Oyster Bar,Augusta,Seafood,33.5134286,-82.0502224239551,8.3
Bardenay,Boise,American,43.5682145,-116.2226681,6
Flatbread Neapolitan Pizzeria,Boise,Italian,40.7251818,-111.8610834,8.2
Big Jud's,Boise,American,43.5974251,-116.2056546,8
Boise Fry Company,Boise,American,43.6159868,-116.2012245,7.9
Flying Pie Pizzaria,Boise,Italian,43.6194418,-116.26237375,8.8
Los Beto's,Boise,Mexican,32.133722,-110.9233866,5.5
Lucianos Italian Restaurant,Boise,Italian,40.6959539,-80.035947,7.9
Mai Thai Restaurant,Boise,Thai,45.51625535,-122.63349005,6.8
Texas Roadhouse,Boise,American,38.56073115,-90.4054508893746,8.4
Brick 29,Boise,American,40.0707244,-74.1280562,6.2
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,Italian,40.49989935,-88.9523838899025,9
El Super Burrito,Cedar Rapids/Iowa City,Mexican,41.9749009,-91.7151575,8.6
Granite City Food & Brewery,Cedar Rapids/Iowa City,American,39.9275509,-86.1601100201084,7.8
Irish Democrat,Cedar Rapids/Iowa City,American,42.0100398,-91.6346301,8.6
Ting's Red Lantern,Cedar Rapids/Iowa City,Chinese,42.0472335,-91.639997,8.1
Monica's,Cedar Rapids/Iowa City,American,41.6704648,-91.5691058784837,8.8
Bluebird Diner,Cedar Rapids/Iowa City,American,41.6637039,-91.530336,8.4
Devotay,Cedar Rapids/Iowa City,Asian,41.6630854,-91.5317792,8.6
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,American,41.6425276,-91.5066778,8.4
Zoeys Pizzeria,Cedar Rapids/Iowa City,Italian,42.0331765,-91.5995471,9
Berry Patch Restaurant,Clatskanie,American,46.1307537,-123.3737505,7.6
Sakura Sushi & Grill,Cochrane,Japanese,37.7649695,-122.2415099,6.4
Fuji Japanese Steak House,Columbus,Japanese,39.9357955,-91.3358634016314,7
Buckhead Bar and Grill,Columbus,Seafood,33.8086548,-84.4125928,6.8
Mellow Mushroom,Columbus,Italian,33.92178705,-84.3795288396402,8.7